Oct 12 2018 11:44:02
{"type":8192,"message":"Function create_function() is deprecated","file":"\/var\/www\/app01\/Dentist\/wp-content\/themes\/docdirect\/inc\/widgets\/class-answers-questions-statics.php","line":112}

Oct 18 2018 11:58:51
{"type":8192,"message":"Function create_function() is deprecated","file":"\/var\/www\/app01\/Dentist\/wp-content\/themes\/docdirect\/inc\/widgets\/class-answers-questions-statics.php","line":112}

Oct 18 2018 11:58:51
{"type":8192,"message":"Function create_function() is deprecated","file":"\/var\/www\/app01\/Dentist\/wp-content\/themes\/docdirect\/inc\/widgets\/class-answers-questions-statics.php","line":112}

Oct 18 2018 11:58:52
{"type":8192,"message":"Function create_function() is deprecated","file":"\/var\/www\/app01\/Dentist\/wp-content\/themes\/docdirect\/inc\/widgets\/class-answers-questions-statics.php","line":112}

Oct 18 2018 11:58:52
{"type":8192,"message":"Function create_function() is deprecated","file":"\/var\/www\/app01\/Dentist\/wp-content\/themes\/docdirect\/inc\/widgets\/class-answers-questions-statics.php","line":112}

Oct 18 2018 11:58:53
{"type":8192,"message":"Function create_function() is deprecated","file":"\/var\/www\/app01\/Dentist\/wp-content\/themes\/docdirect\/inc\/widgets\/class-answers-questions-statics.php","line":112}

Oct 18 2018 11:58:54
{"type":8192,"message":"Function create_function() is deprecated","file":"\/var\/www\/app01\/Dentist\/wp-content\/themes\/docdirect\/inc\/widgets\/class-answers-questions-statics.php","line":112}

Oct 18 2018 11:58:56
{"type":8192,"message":"Function create_function() is deprecated","file":"\/var\/www\/app01\/Dentist\/wp-content\/themes\/docdirect\/inc\/widgets\/class-answers-questions-statics.php","line":112}

Oct 18 2018 11:58:57
{"type":8192,"message":"Function create_function() is deprecated","file":"\/var\/www\/app01\/Dentist\/wp-content\/themes\/docdirect\/inc\/widgets\/class-answers-questions-statics.php","line":112}

Oct 18 2018 11:58:58
{"type":8192,"message":"Function create_function() is deprecated","file":"\/var\/www\/app01\/Dentist\/wp-content\/themes\/docdirect\/inc\/widgets\/class-answers-questions-statics.php","line":112}

Oct 18 2018 11:58:58
{"type":8192,"message":"Function create_function() is deprecated","file":"\/var\/www\/app01\/Dentist\/wp-content\/themes\/docdirect\/inc\/widgets\/class-answers-questions-statics.php","line":112}

